"","kods","teritorija","Year","FDI","Subject","Measure"
"333","AT","Austrija","2017",196,"INWARD","MLN_EUR"
"334","AT","Austrija","2018",209,"INWARD","MLN_EUR"
"335","AT","Austrija","2019",246,"INWARD","MLN_EUR"
"336","AT","Austrija","2020",262,"INWARD","MLN_EUR"
"337","AZ","Azerbaidžāna","2000",0,"INWARD","MLN_EUR"
"338","AZ","Azerbaidžāna","2001",0,"INWARD","MLN_EUR"
"339","AZ","Azerbaidžāna","2002",0,"INWARD","MLN_EUR"
"340","AZ","Azerbaidžāna","2003",0,"INWARD","MLN_EUR"
"341","AZ","Azerbaidžāna","2004",NA,"INWARD","MLN_EUR"
"342","AZ","Azerbaidžāna","2005",NA,"INWARD","MLN_EUR"
"343","AZ","Azerbaidžāna","2006",NA,"INWARD","MLN_EUR"
"344","AZ","Azerbaidžāna","2007",2,"INWARD","MLN_EUR"
"345","AZ","Azerbaidžāna","2008",NA,"INWARD","MLN_EUR"
"346","AZ","Azerbaidžāna","2009",NA,"INWARD","MLN_EUR"
"347","AZ","Azerbaidžāna","2010",NA,"INWARD","MLN_EUR"
"348","AZ","Azerbaidžāna","2011",2,"INWARD","MLN_EUR"
"349","AZ","Azerbaidžāna","2012",0,"INWARD","MLN_EUR"
"350","AZ","Azerbaidžāna","2013",15,"INWARD","MLN_EUR"
"351","AZ","Azerbaidžāna","2014",17,"INWARD","MLN_EUR"
"352","AZ","Azerbaidžāna","2015",15,"INWARD","MLN_EUR"
"353","AZ","Azerbaidžāna","2016",11,"INWARD","MLN_EUR"
"354","AZ","Azerbaidžāna","2017",12,"INWARD","MLN_EUR"
"355","AZ","Azerbaidžāna","2018",13,"INWARD","MLN_EUR"
"356","AZ","Azerbaidžāna","2019",17,"INWARD","MLN_EUR"
"357","AZ","Azerbaidžāna","2020",17,"INWARD","MLN_EUR"
"358","BS","Bahamu salas","2000",7,"INWARD","MLN_EUR"
"359","BS","Bahamu salas","2001",8,"INWARD","MLN_EUR"
"360","BS","Bahamu salas","2002",9,"INWARD","MLN_EUR"
"361","BS","Bahamu salas","2003",9,"INWARD","MLN_EUR"
"362","BS","Bahamu salas","2004",13,"INWARD","MLN_EUR"
